Douglas Snow Aquatic Centre,Multi-Purpose Room (C),Room - C,North District
Stilecroft PS,Gymnasium,Gym - C,North District
Ledbury Park,Pool (A),Pool - Outdoor - A,North District
Gord And Irene Risk Community Centre,Bocce Lounge (C),Room - C,West District
Sunnyside - Gus Ryder Outdoor Pool,Changeroom - Female,Room,West District
Annette Community Recreation Centre,Pool (C)-Indoor,Pool - Indoor - C,West District
Kingsview Village CS,Lunch Room,Cafeteria,West District
Agincourt Recreation Centre,Craft Room 2 (C),Room - C,East District
Trinity Bellwoods Park,Parkland 2,Parkland,South District
St. Lawrence Community Recreation Centre,Pool (B),Pool - Indoor - B,South District
Domenico DiLuca Community Centre,Meeting Room 2 (C),Room - C,West District
Parkdale Community Recreation Centre,Room 108 (C),Room - C,South District
Vine Avenue Playground,Vine Ave Wading Pool,Pool-Wading,West District
St. Augustine CSS,Summer Camp Location,Gym - A,North District
Scarborough Village Recreation Centre,Craft Room North (C),Room - C,East District
Hillcrest Community Centre,Classroom 1 (C),Room - C,South District
O'Connor Community Centre,Gym (B),Gym - B,North District
Toronto Pan Am Sports Centre,Studio 2B,Room,East District
Riverdale Park West,Wading Pool,Pool-Wading,South District
MacGregor Playground,Wading Pool,Pool-Wading,South District
Jimmie Simpson Recreation Centre,Pool (B)-Indoor,Pool - Indoor - B,South District
Moss Park,Soccer Field (C),Sport Field - C,South District
Hilltop Community School,Room 12,Room,West District
Annette Community Recreation Centre,Dance Studio (C),Room-Shop,West District
Scadding Court Community Centre,Gymnasium,Gymnasium,South District
Agnes Macphail Junior Elementary School,Gym,Gymnasium,East District
St. Marcellus CSS,Room 105,Room,West District
Cummer Park Community Centre,Indoor Dry Pad (A),Indoor Dry Pad - A,North District
Falstaff Community Centre,Multipurpose Room (B),Room - B,West District
Jimmie Simpson Recreation Centre,Games Room (Lower Level) (C),Room - C,South District
Prince of Wales Rink,AIR - Rink (A),Rink-Outdoor,West District
Glen Long Community Centre,Gym (B),Gym - B,North District
Campbell Avenue Playground,Wading Pool,Pool-Wading,South District
Bob Abate Community Recreation Centre,Change Room (M) 1 Information Office,Room-Dressing,South District
Goulding Community Centre,Gym (B),Gym - B,North District
The Elms Community School,CS Pre-school Room,Room-Preschool,West District
Lester B. Pearson Collegiate Institute,Pool DE 2,Pool - Indoor - A,East District
Oakridge Community Recreation Centre,Preschool Room 2 (203),Room-Preschool,East District
John G. Althouse CS,Room 11,Room,West District
Northwood Community Centre,Room 1/Kitchen (C),Room - C,North District
David Appleton Community Recreation,Room 2 (C),Room - C,West District
Topham Park,Clubhouse (C),Clubhouse,South District
Edenbridge Seniors Centre,Community Room,Room,West District
Stephen Leacock Community Centre,Activity Room Main Floor #1 (C),Room - C,East District
East Lynn Park,Wading Pool,Pool-Wading,South District
Bloordale Community School,Classroom 107/108,Room,West District
Balmy Beach Community Recreation Centre,Community Room (C),Room - C,South District
Driftwood Community Recreation Centre,Gym (A),Gym - A,North District
Birchmount Community Centre,Beach Pool & Tot Pool (A),Pool - Indoor - A,East District
Malvern Recreation Centre,Gym 2 (A),Gym - A,East District
Albion Pool And Health Club,Meeting Room (C),Room - C,West District
Antibes Community Centre,Seniors Lounge (C),Room - C,North District
Trinity Bellwoods Park,Court 2,Court - Tennis,South District
Matty Eckler Recreation Centre,Nursery Room 1 (C),Room - C,South District
Thistletown Community Centre,Hall Meeting Room - Room 305 (C),Room - C,West District
Smithfield CS,Room 103,Room,West District
Douglas Snow Aquatic Centre,Lane 2,Pool - Indoor - P,North District
Colonel Samuel Smith Park,AIR - Skating Trail,Rink-Outdoor,West District
Amesbury Sports Complex,Rink (A),Rink-Indoor - A,West District
Moss Park,Diamond (B) (Lit),Diamond - B,South District
McGregor Park Community Centre,Meeting Rooms - East/West (C),Room - C,East District
Ourland Community Centre,Gym (B),Gym - B,West District
Eglinton Flats,Tennis Court - 1,Court - Tennis,West District
Port Union Community Recreation Centre,Parking Lot,Parking Lot,East District
Hilltop Community School,Pod 5/6,Room,West District
Dennis R.Timbrell Resource Centre,Room 2 (C),Room - C,North District
Birchmount Community Centre,Lap DE,Pool - Indoor - A,East District
Hilltop Community School,Library,Library,West District
Brown Community Centre,Pool (C),Pool - Indoor - C,South District
Birkdale Community Centre,Main Room (B),Room - B,East District
North Toronto Memorial Community Centre,Dance Studio (C),Room - C,North District
Commander Recreation Centre,Hall - North (B),Room - B,East District
East York Community Centre,Pool DE 1,Pool - Indoor - B,South District
Wellesley Community Centre,Multipurpose Room C (C),Room - C,South District
Roding Community Centre,Rink (A),Rink-Indoor - A,North District
Bob Abate Community Recreation Centre,Gym 2 - Bickford,Room - C,South District
Cummer Park Community Centre,Pool (A)- DE1,Pool - Indoor - A,North District
L'Amoreaux  CI,Pool (B)-Indoor,Pool - Indoor - B,East District
Antibes Community Centre,Fitness/Weight Room,Room-Fitness/Weight,North District
Cummer Park Community Centre,Storage - Pro Shop- B (inactive),ProShop,North District
Gus Ryder Pool And Health Club,Pool SE2,Pool - Indoor - A,West District
Firgrove PS,Room,Room,West District
Malvern Recreation Centre,Tennis Courts 1-3,Court - Tennis,East District
Alexandra Park,AIR-Harry Gairey Rink 2 (no boards) (A),Rink-Outdoor,South District
O'Connor Community Centre,Media Lab (B),Room - B,North District
Agincourt Recreation Centre,Craft Room 1 (C),Room - C,East District
Seneca Village Community Centre,Playroom (C),Room - C,North District
Vaughan Road Academy,Pool (B)-Indoor,Pool - Indoor - B,North District
Birkdale Community Centre,Craft 2 (C),Room - C,East District
Withrow Park,Fieldhouse (Frankland CC Use Only),Clubhouse,South District
Heron Park Community Centre,Kitchen (B),Kitchen - B,East District
Gord And Irene Risk Community Centre,Lobby (C),Room - C,West District
Stanley Park South - Toronto,Outdoor Pool (C),Pool - Outdoor - C,South District
St. Jean Brebeuf CSS,Gym,Gymnasium,East District
Flemingdon Community Centre,Room 2 (C),Room - C,North District
Sir Casimir Gzowski Park,Sir Casmir Gzowski Wading Pool,Pool-Wading,West District
Georges Vanier Secondary School,Pool (B) SE2,Pool-Indoor,North District
Blantyre Park,Pool (C)-Outdoor,Pool - Outdoor - C,East District
Scarborough Village Recreation Centre,Parking Lot,Parking Lot,East District
Edithvale Community Centre,Edithvale Banquet Room - 112 (B),Room - A,North District
Harrison Pool,Change Room (M),Room-Dressing,South District
Ourland Community Centre,Kitchen (C),Kitchen - C,West District
Leaside Memorial Gardens Pool,Pool DE 1 (B),Pool - Indoor - B,North District
Northwood Community Centre,Room 2/T.V. (C),Room - C,North District
Don Mills CI,Gymnasium,Gymnasium,North District
Banbury Community Centre,Lounge (C),Room - C,North District
Milliken Park Community Recreation,Gym 1 2 (B),Gym - B,East District
Driftwood Community Recreation Centre,Room 7 (C),Room - C,North District
Christie Pits Park,Wading Pool,Pool-Wading,South District
Hollycrest CS,Classroom 16,Room-School,West District
Masaryk- Cowan Community Centre,Sun Room - 1st Floor (C),Room - C,South District
Regent Park South Community Centre,Weight Room,Room-Fitness/Weight,South District
Davisville Public School,Gymnasium - 2nd Floor,Gymnasium,South District
Carmine Stefano Community Centre,Room 122 - Art Studio (C),Room - C,West District
Jimmie Simpson Park,Wading Pool,Pool-Wading,South District
Albert Campbell Collegiate Institute,Pool DE1,Pool - Indoor - B,East District
North Toronto Memorial Community Centre,Pool (A) - Indoor,Pool - Indoor - A,North District
Heron Park Community Centre,Community Room A (C),Room - C,East District
St. Isaac Jogues CSS,Room,Room-School,North District
St. Marcellus CSS,Room 128,Room,West District
Main Square Community Centre,Kitchen (C),Kitchen - C,South District
Humber Community Pool - Indoor Pool,Pool (B)-Indoor,Pool - Indoor - B,West District
Ellesmere Community Centre,Gym 2 (C),Gym - C,East District
Joseph J. Piccininni Community Centre,Pool-Deep End,Pool - Indoor - A,West District
Agincourt Recreation Centre,Community Room (A),Room - A,East District
Driftwood Community Recreation Centre,Room 6 (C),Room - C,North District
Amesbury Community Centre,Computer Centre (Room 2) (C),Room - C,West District
Parkway Forest Community Centre,Gym (A),Gym - A,North District
Toronto Pan Am Sports Centre,Track,Track-Indoor,East District
Barbara Frum Community Centre,South Meeting Room (B),Room - C,North District
Jenner Jean-Marie Community Centre,Weight Room (C),Room - C,North District
Scarborough Village Recreation Centre,Craft Rms N & S (B),Room - B,East District
Bedford Park Community Centre,Pool (C)-Indoor,Pool - Indoor - C,North District
S.H. Armstrong Community Centre,Pool SE1,Pool - Indoor - C,South District
Norseman Community School And Pool,Pool (B) - DE1,Pool - Indoor - B,West District
Etobicoke Civic Centre,Meeting Room,Room,West District
Richmond Gardens Outdoor Pool,Pool (B)-Outdoor,Pool - Outdoor - B,West District
West Hill Collegiate Institute,Gym 3 4,Gymnasium,East District
Riverdale Farm,Residence Rm 3 (1st fl east)(C),Room,South District
Giovanni Caboto,Pool (A)-Outdoor,Pool - Outdoor - A,West District
Lester B. Pearson Collegiate Institute,Pool SE 2,Pool - Indoor - A,East District
Pelmo Park Community Centre,Meeting Room 1 (C),Room - C,West District
St. Lawrence Community Recreation Centre,Meeting Room (C),Room - C,South District
Masaryk- Cowan Community Centre,Gym (B),Gym - B,South District
Leaside Memorial Gardens Pool,Pool (B)- Indoor,Pool - Indoor - B,North District
Winchester Park,Wading Pool,Pool-Wading,South District
Bedford Park Community Centre,DE1,Pool - Indoor - C,North District
L'Amoreaux Community Recreation Centre,Gym 3 (C),Gym - C,East District
Ellesmere Community Centre,Skateboard Park,Skateboard Park,East District
Bayview Arena,Auditorium (B),Room - B,North District
L'Amoreaux Tennis Centre,Tennis Indoor - Court 02,Court - Tennis,East District
Trinity Bellwoods Park,Area 1 ( Queen ) (50),Parkland,South District
St. Marcellus CSS,Classroom 1,Room-School,West District
Frankland Community Centre,Multipurpose Room C (C),Room - C,South District
Gord And Irene Risk Community Centre,Meeting Room 2 (C),Room - C,West District
Hollycrest CS,Classroom 14,Room-School,West District
Keele Community Centre,Room 103,Room - C,West District
Wellesley Community Centre,Gym (B) - North End,Gym - B,South District
Falstaff Community Centre,Craft Room (C),Room - C,West District
Cummer Park Community Centre,Multi Purpose Room 1  2 & Kitchen (B),Room - B,North District
East York Community Centre,Pool SE 2,Pool - Indoor - B,South District
Agincourt Recreation Centre,Lap SE,Pool - Indoor - A,East District
Wellesley Community Centre,Gym (B) - South End,Gym - B,South District
Trinity Community Recreation Centre,Activity Room (C),Room - C,South District
Cedarbrae Collegiate Institute,Pool (A)-Indoor,Pool - Indoor - A,East District
Thistletown Community Centre,Village Green Room (C),Room - C,West District
Ancaster Community Centre,Gym (B),Gym - B,North District
Sunnyside - Gus Ryder Outdoor Pool,Lobby,Lobby,West District
Bellmere Elementary School,Gym,Gymnasium,East District
Monarch Park,Outdoor Pool (B),Pool - Outdoor - B,South District
Northwood Community Centre,Room 8/Tiny Tots (C),Room - C,North District
Wadsworth Park,Wadsworth Wading Pool,Pool-Wading,West District
Oriole Park - Toronto,Wading Pool,Pool-Wading,South District
Kingsview Village CS,Gym B,Gymnasium,West District
Chalkfarm Community Centre,Kitchen (B),Kitchen - B,West District
John Innes Community Recreation Centre,Youth Lounge (C),Room - C,South District
Wallace-Emerson Community Centre,Gym 1 (B),Gym - B,South District
Broadlands Community Centre,Room 2 (C),Room - C,North District
Sunnyside - Gus Ryder Outdoor Pool,Pool (A)-Outdoor,Pool - Outdoor - A,West District
Joseph J. Piccininni Community Centre,Nursery Room (B),Room - B,West District
Don Montgomery Community Centre,Snooker Room,Room - C,East District
Beverly Glen Elementary School,Gymnasium,Gymnasium,East District
John G. Althouse CS,Lunchroom,Room,West District
Trinity Community Recreation Centre,Games Room (C),Room - C,South District
Cedarbrae Collegiate Institute,Pool SE 2,Pool - Indoor - A,East District
Victoria Village Arena,Rink (A),Rink-Indoor - A,North District
John Innes Community Recreation Centre,Pool (C),Pool - Indoor - C,South District
Fairmount Park Community Centre,Multipurpose Room - Large Room (B),Room - B,South District
Mary McCormick Recreation Centre,Pool (B),Pool - Indoor - B,South District
S.H. Armstrong Community Centre,Pool SE2,Pool - Indoor - C,South District
Earl Beatty Community Centre,Gymnasium,Gymnasium,South District
Edgehill House,Drawing Room (C),Room - C,West District
Trinity Community Recreation Centre,Trinity Pool -Tots Pool (C),Pool - Indoor - C,South District
Edithvale Community Centre,Pre-school Room - 111 (C),Room - C,North District
Ken Cox Community Centre,Cafeteria (A),Room - A,West District
Regent Park North,AIR - Rink North,Rink-Outdoor,South District
Oriole Community Centre,Kitchen (B),Kitchen - B,North District
Fairbank Memorial Community Centre,Classroom (C),Room - C,North District
Pleasantview Community Centre,Room 1 (C),Room - C,North District
Trinity Community Recreation Centre,Pool DE2,Pool - Indoor - B,South District
Mary McCormick Recreation Centre,Fitness Room,Room,South District
Don Montgomery Community Centre,Cafeteria 1 (C),Room - C,East District
Northview Heights SS,Pool (B)-Indoor,Pool - Indoor - B,North District
Toronto Island Recreation,Franklin Children's Garden,Garden,South District
Sherwood Park,Wading Pool,Pool-Wading,North District
Antibes Community Centre,Dance Room (C),Room - C,North District
Scadding Court Community Centre,Pool SE2,Pool - Indoor - B,South District
James S. Bell CS,Art Room,Room-Craft,West District
Islington CS,Guidance Room,Room,West District
Centennial Park - Etobicoke,Wading Pool,Pool-Wading,West District
Horner Ave Seniors Centre,Auditorium,Auditorium,West District
Douglas Snow Aquatic Centre,Lane 3,Pool - Indoor - P,North District
Don Montgomery Community Centre,Gym 1 (B),Gym - B,East District
Greenwood Park,Pool (B),Pool - Outdoor - B,South District
Dentonia Park,Dentonia Park Clubhouse,Clubhouse,South District
Matty Eckler Recreation Centre,Computer Room (C),Room - C,South District
Scadding Court Community Centre,Pool DE1,Pool - Indoor - B,South District
Maria A. Shchuka Library,Meeting Room (C),Room - C,N/A
Parkdale Community Recreation Centre,Room 109 (C),Room - C,South District
Albion Pool And Health Club,Fitness Studio (B),Room - B,West District
Heather Heights Elementary School,Gym,Gymnasium,East District
Greenwood Park,AIR - Rink 1 (without boards) (A),Rink-Outdoor,South District
Gord And Irene Risk Community Centre,Pool (C)-Outdoor,Pool - Outdoor - C,West District
Glen Ravine JES,Gym,Gymnasium,East District
West Acres Seniors Centre,Lounge (C),Room - C,West District
Phil White Arena,Rink (A),Rink-Indoor - A,South District
Sunnyside - Gus Ryder Outdoor Pool,DE1 - Diving Board (Quadrant 1),Pool - Outdoor - A,West District
Swansea Community Recreation Centre,Pool DE1 (C),Pool - Indoor - C,West District
Roding Community Centre,Meeting Room 1 (B),Room - B,North District
Stephen Leacock Seniors Community Centre,Craft Room 2 (C),Room - C,East District
Annette Community Recreation Centre,Meeting Room (C),Room - C,West District
St. Dunstan CS,Gymnasium,Gymnasium,East District
George Harvey Collegiate Institute,Gymnasium,Gymnasium,West District
St. Nicholas of Bari CSS,Gym,Gymnasium,West District
Birchmount Community Centre,DE 1,Pool - Indoor - A,East District
Fairmount Park Community Centre,Pool SE1,Pool - Indoor - C,South District
Hodgson Public School,AIR - Rink (Boards) (A),Rink-Outdoor,South District
Falstaff Community Centre,Music Studio (C),Room - C,West District
Cedarvale Park,A.I.R.,Rink-Outdoor,South District
Victoria Park SS,Viewing Gallery,Gallery,North District
Wanless Park,Wading Pool,Pool-Wading,North District
Park Lawn CS,Room 6,Room,West District
Heron Park Community Centre,Community Room B (C),Room - C,East District
The Elms Community School,CS Piano Room,Room,West District
Parkdale Community Recreation Centre,Pool  DE1,Pool - Indoor - B,South District
Centennial Recreation Centre-Scarborough,Dry Pad (A),Indoor Dry Pad - A,East District
Wellesley Community Centre,Youth Lounge (C),Room - C,South District
Etobicoke Olympium,40 X 40 North (C),Gym - C,West District
Parliament Square Park,Area,Parkland,South District
Centennial Recreation Centre-Scarborough,Galaxy Lounge  Rm 210 (C),Room - C,East District
Park Lawn Rink,Rink (C),Rink-Indoor - C,West District
Banbury Community Centre,Kitchen (B),Kitchen - B,North District
Centennial Recreation Centre - Etobicoke,Pre-School Room (C),Room - C,West District
Hollycrest CS,Classroom 3,Room-School,West District
Northview Heights SS,Gym/small,Gymnasium,North District
Hillcrest Community Centre,Room #114 (C),Room - C,South District
Alexandra Park,AIR-Harry Gairey Rink 1 (boards) (A),Rink-Outdoor,South District
McCormick Park,Parkland,Parkland,South District
Main Square Community Centre,Pool - SE2,Pool - Indoor - B,South District
North Kipling Community Centre,Lobby (C),Lobby,West District
Cliffwood Manor - T.C.H.,Community Room,Room,North District
Vermont Square,Wading Pool,Pool-Wading,South District
Agincourt Recreation Centre,Rink 1 (B),Rink-Indoor - B,East District
Birchmount Community Centre,Beach Pool,Pool - Indoor - A,East District
Trinity Bellwoods Park,Field 1 - N (B) - (Do Not Use),Sport Field - B,South District
J.R.Wilcox JES,Classroom,Room,South District
Holy Family Community Centre,Multipurpose Room (C),Room - C,South District
James S. Bell CS,Room 102,Room,West District
The Elms Community School,Music/String Room,Room,West District
Park Lawn CS,Room 2,Room,West District
Habitant Arena,Rink (A),Rink-Indoor - A,West District
Toronto Pan Am Sports Centre,Training Pool - Deep Lane 3,Pool-Indoor,East District
Gus Ryder Pool And Health Club,Health Club Gym (B),Gym - B,West District
Nelson A. Boylen Collegiate Institute,Pool - DE 1,Pool-Indoor,West District
Edithvale Community Centre,Gibson Room - 201 (B),Room - B,North District
Sir Wilfrid Laurier Collegiate Institute,Gym 1 (Double),Gymnasium,East District
Hollycrest CS,Classroom 15,Room-School,West District
Scadding Court Community Centre,Pool DE2,Pool - Indoor - B,South District
Birchmount Community Centre,Den (C),Room - C,East District
Carmine Stefano Community Centre,Room 126 - Meeting Room (C),Room - C,West District
Douglas Snow Aquatic Centre,Lane 1,Pool - Indoor - P,North District
Earl Beatty Community Centre,Pool DE1,Pool - Indoor - B,South District
Campbell Avenue Playground,AIR - Rink,Rink-Outdoor,South District
Don Mills Civitan Arena,Rink (A),Rink-Indoor - A,North District
Annette Community Recreation Centre,Office,Room,West District
Masaryk- Cowan Community Centre,Studio (C),Room - C,South District
Military Trail JES,Gym,Gymnasium,East District
Warden Hilltop Community Centre,Aerobic/Dance Studio (C),Room - C,East District
Oakdale Community Centre,Pool (C)-Outdoor,Pool - Outdoor - C,North District
Heron Park Community Centre,Gym (A),Gym - A,East District
Kingsview Park,Tennis Court 1,Court - Tennis,West District
Oriole Community Centre,Gallery (C),Room - C,North District
Joseph J. Piccininni Community Centre,Change Room #1,Room-Dressing,West District
Ramsden Park,Court 1,Court - Tennis,South District
George Anderson Public School,Gymnasium,Gymnasium,West District
Wells Hill Park,Wading Pool,Pool-Wading,South District
Hollycrest CS,Classroom 8,Room-School,West District
Mitchell Field Community Centre,Multipurpose Room (C),Room - C,North District
Humberwood Community Centre,Room 1013/1016 (B),Room - B,West District
Livingstone Park,Wading Pool,Pool-Wading,South District
Park Lawn CS,Home Economics Room,Room,West District
Driftwood Community Recreation Centre,Office,Room,North District
Carmine Stefano Community Centre,Gym (A),Gym - A,West District
Islington CS,Small Lunchroom,Cafeteria,West District
York Mills Collegiate Institute,Pool (B) - DE 1,Pool - Indoor - B,North District
Esther Shiner Stadium,Multi-Purpose Room (C),Room - C,North District
Memorial Pool And Health Club,Pool DE1,Pool - Indoor - A,West District
Wellesley Community Centre,Fitness Studio (C),Room - C,South District
Ellesmere Statton JES,Gym,Gymnasium,East District
The Elms Community School,Pool DE1-(B),Pool - Indoor - B,West District
Grandravine Community Recreation Centre,Room 203/Upstairs Kitchen (B),Room - B,North District
Matty Eckler Recreation Centre,Recording Studio,Room,South District
Don Russell Memorial Park,D. Russell Wading Pool,Pool-Wading,West District
Queensway Rink - Outdoor Artificial Ice,AIR - Rink,Rink-Outdoor,West District
Giovanni Caboto,AIR - Rink with Boards,Rink-Outdoor,West District
Brown Community Centre,Room 12 (C),Room - C,South District
West Rouge Community Centre,South Room (B),Room - B,East District
McGregor Park Community Centre,Harrison Room - East/West (B),Room - B,East District
Cedarbrook Community Centre,Classroom (C),Room - C,East District
Amesbury Community Centre,Meeting Room 1 (C),Room - C,West District
Centennial Park Ski Chalet,1-Upper Level Room (B),Room - B,West District
Grandravine Community Recreation Centre,Room 105/Multipurpose (B),Room - B,North District
Broadlands Park,Diamond (C) - No Adult Play,Diamond - C,North District
North Kipling Community Centre,Multipurpose Room (C),Room - C,West District
Hollycrest CS,Classroom 5,Room-School,West District
Fairfield Seniors' Centre,Gym (C),Gym - C,West District
Burrows Hall Community Centre,Activity Room (B),Room - B,East District
Woburn Collegiate Institute,Gym 1 2,Gymnasium,East District
Mimico Centennial Public Library,Room,Room - C,West District
Cedarbrook Jr PS,Gym,Gymnasium,East District
Charles G. Williams Park,Wading Pool,Pool-Wading,South District
Swansea Community Recreation Centre,Multipurpose Room 4 Swansea Room (C),Room - C,West District
Elmbank Community Centre,Kitchen - Upper (A),Kitchen - A,West District
Hilltop Community School,Classroom 2,Room-School,West District
Gord And Irene Risk Community Centre,Meeting Room 3 (C),Room - C,West District
Sunnybrook Park,Parkland (C) (NO WEDDINGS & 0-24 w/ BBQ,Parkland,North District
Mary McCormick Recreation Centre,Nursery (C),Room - C,South District
John Innes Community Recreation Centre,Gym (B),Gym - B,South District
Beaches Recreation Centre,Multipurpose Room 1 (C),Room - C,South District
Toronto Pan Am Sports Centre,Training Pool - Deep Lane 5,Pool-Indoor,East District
Kingsview Village CS,Seminar Room,Gymnasium,West District
Trinity Community Recreation Centre,Art Room (C),Room - C,South District
Adam Beck Community Centre,Community Room (C),Room - C,South District
Cedarbrook Community Centre,Ballroom (A),Room - A,East District
Fairbank Memorial Community Centre,Arts & Crafts Room (C),Room - C,North District
St. Maurice CS,Gymnasium,Gymnasium,West District
Trace Manes Park Community Centre,Meeting Room (C),Room - C,North District
St. Marcellus CSS,Dance Studio,Room-School,West District
Agincourt Recreation Centre,Rink 2 (B),Rink-Indoor - B,East District
Moorevale Park,Wading Pool,Pool-Wading,South District
Claireville Day Camp,Adventure Area,Campground,West District
Calico PS,Diamonds (2),Diamond,North District
Claireville Day Camp,Sports Area,Campground,West District
West Hill Public School,Gym,Gymnasium,East District
Chalkfarm Community Centre,Gym (C),Gym - C,West District
Centennial Recreation Centre-Scarborough,Lower Galaxy Room (163) (C),Room - C,East District
Thistletown Community Centre,The Studio (C),Room - C,West District
Elmbank Community Centre,Lounge (C),Room - C,West District
Vaughan Road Academy,Large Gym,Gymnasium,North District
O'Connor Community Centre,Tiny Tot Room (B),Room - B,North District
Glen Long Community Centre,Pool (C)-Outdoor,Pool - Outdoor - C,North District
Gus Ryder Pool And Health Club,Pool (A)-Indoor,Pool - Indoor - A,West District
Valleyfield Park,AIR - Rink,Rink-Outdoor,West District
St. Gabriel CS,Room,Room,North District
Grandravine Park,Courts 1 - 3,Court - Tennis,North District
Beaches Recreation Centre,Pool SE2,Pool - Indoor - B,South District
Humber River Valley,Campsite,Parkland,West District
Agincourt Recreation Centre,SE1 - Lap,Pool-Indoor,East District
Amesbury Sports Complex,Pool (C)-Outdoor,Pool - Outdoor - C,West District
Glen Long Community Centre,Kitchen (B),Kitchen - B,North District
Toronto Pan Am Sports Centre,Training Pool,Pool-Indoor,East District
Hollycrest CS,Classroom 18,Room-School,West District
Masaryk- Cowan Community Centre,Weight Room,Room-Fitness/Weight,South District
Birchmount Community Centre,Scarborough Gardens Arena - Rink (A),Rink-Indoor - A,East District
Regent Park South Community Centre,Billiard Room,Room-Games,South District
Mitchell Field Community Centre,Arts & Craft Room (C),Room - C,North District
Trinity Community Recreation Centre,Pre-School Room (C),Room - C,South District
York Mills Collegiate Institute,Pool (B)-Indoor,Pool - Indoor - B,North District
High Park,High Park Wading Pool,Pool-Wading,West District
Sir Adam Beck JS,Gym,Gymnasium,West District
Earl Beatty Community Centre,Pool SE1,Pool - Indoor - B,South District
Joseph J. Piccininni Community Centre,Weight Room (B),Room-Fitness/Weight,West District
Glen Ravine Park,Field 1 (C),Sport Field - C,East District
Holy Family Community Centre,Gym 2 (C),Gym - C,South District
Goulding Community Centre,Rink (A),Rink-Indoor - A,North District
Dennis R.Timbrell Resource Centre,Pool DE1,Pool - Indoor - A,North District
Broadacres Park,Parkland,Parkland,West District
Jimmie Simpson Park,Park,Parkland,South District
Withrow Park,AIR - Rink,Rink-Outdoor,South District
Ken Cox Community Centre,Gym B - Redmond (B),Gym - B,West District
Bob Abate Community Recreation Centre,Dance Studio (C),Room - C,South District
Kidstown Water Park,Kidstown Programs 1-3,Waterpark,East District
Ellesmere Community Centre,Hall - West (B),Room - B,East District
Centennial Recreation Centre-Scarborough,Galaxy Meeting Room (C),Room - C,East District
Masaryk- Cowan Community Centre,Activity Room #2 (C),Room - C,South District
Jimmie Simpson Recreation Centre,Tot Pool (C),Pool - Indoor - C,South District
Smithfield CS,Library,Library,West District
Toronto Pan Am Sports Centre,Gymnasium 1,Gymnasium,East District
Toronto Pan Am Sports Centre,Training Pool - Shallow Lane 8,Pool-Indoor,East District
Close Avenue Parkette,Wading Pool,Pool-Wading,South District
Grandravine Community Recreation Centre,Dry Pad (A),Indoor Dry Pad - A,North District
Ancaster Junior Elementary School,Room 1 (C),Room - C,North District
Stephen Leacock Community Centre,Drypad 1 - Carpet (P),Indoor Dry Pad - Premier,East District
West Rouge Community Centre,Tots Room (C),Room - C,East District
Toronto Pan Am Sports Centre,Training Pool - Shallow Lane 6,Pool-Indoor,East District
Gus Ryder Pool And Health Club,Pool DE 2 & SE 2- Lane 5,Pool - Indoor - A,West District
Bob Abate Community Recreation Centre,Gym (B),Gym - B,South District
Henry Hudson Senior Elementary School,Gym,Gymnasium,East District
Humbercrest ES,Room 1,Room,West District
Pelmo Park Community Centre,Kitchen (C),Kitchen - C,West District
East York Civic Centre,Lawns,Garden,South District
Runnymede Collegiate Institute,Pool (C)- Indoor,Pool - Indoor - C,West District
Centennial Park - Etobicoke,Centennial Park Ski and Snowboard Centre,Ski-Winter,West District
Greenwood Park,Diamond 3 - Ctr (C) (Lit),Diamond - C,South District
Humbercrest ES,Lunch Room,Room-School,West District
North Toronto Memorial Community Centre,Multipurpose Room (A),Room - A,North District
Driftwood Community Recreation Centre,Room 3 (C),Room - C,North District
Sloane PS,Summer Camp Location,Room-School,North District
East York Community Centre,Basement Room (C),Room - C,South District
Chalkfarm Community Centre,Multipurpose Room (C),Room - C,West District
Toronto Island Recreation,Boathouse,Boathouse,South District
David Appleton Community Recreation,Room (B),Room - B,West District
Fairbank Memorial Park,Area (C),Parkland,North District
Kew Gardens,Wading Pool,Pool-Wading,South District
Fairfield Seniors' Centre,Room 7 - Preschool (C),Room - C,West District
Parkway Forest Community Centre,Gym WEST B,Gym - B,North District
St. Leonard's Church,Gym,Gymnasium,North District
Burrows Hall Community Centre,Kids Korner (C),Room - C,East District
Hilltop Community School,Activity Room,Room,West District
Oriole Community Centre,Play Room (C),Room - C,North District
Don Montgomery Community Centre,Activity Room (C),Room - C,East District
Oriole Community Centre,Pool (B) - Outdoor,Pool - Outdoor - B,North District
Don Montgomery Community Centre,Kitchen,Kitchen,East District
Oriole Park - Toronto,Court 1,Court - Tennis,South District
John G. Althouse CS,Art Room,Room-Craft,West District
L'Amoreaux Community Recreation Centre,Preschool Room 2,Room-Preschool,East District
Centennial Recreation Centre - Etobicoke,Gym (A),Gym - A,West District
S.H. Armstrong Community Centre,Games Room (C),Room - C,South District
Silver Springs ES,Gym,Gymnasium,East District
Trace Manes Park Community Centre,Noble Room (C),Room - C,North District
Norwood Park,Wading Pool,Pool-Wading,South District
Earl Beatty Community Centre,Pool (B),Pool - Indoor - B,South District
Humber Community Pool - Indoor Pool,Pool SE1,Pool - Indoor - B,West District
Secord Community Centre,Storage Room,Storage,South District
St. Gerald CS,Gym,Gymnasium,North District
Harrison Pool,Pool (C),Pool - Indoor - C,South District
Dufferin Grove Park,AIR - Rink (boards),Rink-Outdoor,South District
North Agincourt JES,Gym,Field,East District
Douglas Snow Aquatic Centre,Lane 5,Pool - Indoor - P,North District
